id,status,notes,dso_id,ready_to_go
358,1,"Just S of a 6th magnitude star.    80 stars (mag 12+) detached in a crowded field.",358,1
359,1,"Detached, weak concentration of 40 stars, mag 10+.",359,1
360,1,"V-shaped cluster with 10 Monocerotis at N end.",360,1
361,1,"Unconcentrated collection of 30 stars, discernable from the background only because of the brightness of the main star (mag 9+).  Elongated pattern.",361,1
363,1,"80 concentrated stars, mag 8+ with the brightest star near the center.   Three trails of stars to N, E, and S, giving it the impression of a bird in flight.",363,1
364,1,"Light concentration of 11+ mag stars.  Might get confused by the star field to the E which has brighter (but looser) stars.",364,1
365,1,"70 stars, detached but not very concentrated, mag 10+.   Field stars (9th-11th mag) surround it in a pentagon.",365,1
366,1,"Cluster of 35 detached but unconcentrated (mag 9+) stars at the edge of nebulosity that brightens to the S.",366,1
367,1,"Detached but with only ~30 stars, mag 8+.",367,1
368,1,"30 stars, detached but weakly concentrated.    Brightest star 6th mag, but most stars mag 9+.
Two bright red stars N and SE (about 20' away each).",368,1
369,1,"Mostly detached and concentrated.",369,1
370,1,"Somewhat detached and concentrated.  About 50 stars.",370,1
371,1,"Irregular with a oval disk containing a rectangular central region plus two detached lobes, NW/SE.   Central star is mag 14.9.   Roughly Jupiter-sized.",371,1
372,1,"About 30 stars, not detached, from mag 10+.",372,1
373,1,"About 70 stars, concentrated, mag 10+.",373,1
374,1,"40 stars mag 9+, not detached.",374,1
376,1,"About 70 stars mag 12+, concentrated, but in a dense field, mostly to the N, less so to the S.",376,1
377,1,"40 stars, mag 10+, with a slight K-shaped pattern.  No concentration, detached but in a rich star field to E, less so to W.",377,1
378,1,"Detached and weakly concentrated;  about 45 stars mag 11+.",378,1
379,1,"Rich cluster of >100 stars mostly mag 10+ with a 9th mag star on SE edge.   Odd shape.",379,1
380,1,"40 unconcentrated stars, mag 9+.",380,1
381,1,"Loose cluster of 50-60 stars mag 9+, just NW of 19 Puppis (mag 4.7).",381,1
382,1,"Rectangular distribution of ~40 stars (NE/SW. mag 10+), detached and unconcentrated.",382,1
383,1,"Small cluster of ~30 stars, mag 9+, overshadowed be a long bow-like arc of brighter (mag 7-9) stars from N to SW, roughly 15' distant.",383,1
384,1,"Very elongated;  faint filamentary arms against disk.  Some dust lanes on SW side.",384,1
385,1,"~100 stars, mag 11+, little concentration.",385,1
386,1,"Puffy spiral between two 7th magnitude stars.   Large bright core.",386,1
387,1,"Round, with a very small core, faint inner ring - outer disk has light and dark patches, suggestive of very diffuse spiral arm structure.",387,1
390,1,"Intricate face-on spiral.   Diffuse spiral arms, almost indistinct except a bright arc on N side of inner disk.   The S arm extends outward with a detached fuzzy patch 2' E.    SE 12' is the edge-on galaxy PGC 26086 (mag 15, SBb, 0.8' x 0.2').",390,1
391,1,"Elongated with a bright core.   Hi-res photos show several arcing dust bands.",391,1
392,1,"Very elongated - no features.",392,1
393,1,"Oval shaped with a central ""eye"" inner disk and bright nucleus surrounded by a fainter ring oriented SE/NW.   7th star 6' NW.",393,1
394,1,"Bright core, faint outer halo and partial ring.",394,1
395,1,"Elongated spiral with tight but distinct arms.   Two companions to the NE: NGC 2968 has a knobby bar.",395,1
396,1,"Elongated with a bright core but a 10th mag interloper near center.",396,1
397,1,"Oval shaped, with considerable mottling and SFRs.",397,1
398,1,"Almost face-on.  Many thin spiral arms dotted with SFRs.",398,1
399,1,"Overall appears like a lenticular with a bright core.   Deeper, it has turbulent core with dark lanes and bright patches.",399,1
