ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
F00597	NGC 4601	galaxy--unclassified		S0-a	L	G	-1.1 ± 0.5	-1.1	S0-a	B	R	
F00259	NGC 4602	galaxy--spiral	Sc	SABb	I	G	4.2 ± 0.6	4.2	SABb	B		
D01302	NGC 4603	galaxy--spiral	Sc	SABc	I	G	5.0 ± 0.3	5	SABc	B		
F00260	NGC 4604	irregular-galaxy	Im	IBm	X	G	10.0 ± 0.5	10	IB	B		
D00693	NGC 4605	barred-spiral	SBc	SBc	B	G	5.0 ± 1.5	5	SBc	B		
D02285	NGC 4606	barred-spiral	SBa	SBa	B	G	0.6 ± 1.4	0.6	SBa	B		
F00261	NGC 4607	barred-spiral	SBbc	SBbc	B	G	4.0 ± 2.2	4	SBbc	B		
F00990	NGC 4608	barred-spiral	SB(r)0	S0	L	G	-1.7 ± 0.8	-1.7	S0	B	R	
D00912	NGC 4612	galaxy--lenticular	(R)SAB0	S0	L	G	-2.0 ± 0.4	-2	S0	B	R	
F00262	NGC 4616	galaxy--lenticular	S0	E4	E	G	-3.9 ± 0.7	-3.9	E			
D00495	NGC 4618	barred-spiral	SB(rs)m	SB(rs)m	B	G	8.6 ± 1.1	8.6	SBm	B		
D02286	NGC 4619	barred-spiral	SBcr	SAb	S	G	3.1 ± 0.5	3.1	Sb	B	R	
D02287	NGC 4620	galaxy--lenticular	S0	S0	L	G	-1.8 ± 0.9	-1.8	S0	B	R	
D01303	NGC 4622	galaxy--spiral	Sb	SAa	S	G	1.1 ± 0.8	1.1	Sa		R	
D02288	NGC 4623	galaxy--elliptical	SB0+E7	S0-a	L	G	-1.5 ± 1.7	-1.5	S0-a	B		
F00264	NGC 4625	galaxy--spiral	SAB(rs)mpec	SAB(rs)m pec	I	G	8.7 ± 0.9	8.7	SABm	B	R	
F00265	NGC 4627	galaxy--spiral		E3	E	G	-4.7 ± 0.7	-4.7	E			
F01458	NGC 463	galaxy--unclassified		S0-a	L	G	-0.3 ± 1.0	-0.3	S0-a			
